Normalisation,Final Train Acc (%),Final Test Acc (%),Final Train Loss,Final Test Loss
Quad-Node,87.355,87.34333333333332,0.41570348009351443,0.41102982944083993
Quad-Layer,46.10888888888889,46.89666666666667,1.5981928044688385,1.573994720273111
Cubic-Node,87.52777777777779,87.61999999999999,0.4092896685541994,0.4044713412484808
Cubic-Layer,74.7761111111111,75.77333333333333,0.7783290243531429,0.7436988920207801
ReLU,98.07777777777778,96.73,0.07269125481583792,0.1062572691894834
Sigmoid,92.3011111111111,92.50333333333333,0.28940899961700994,0.2842929715004124
