Activation,Accuracy Std,Accuracy Range,Loss Std,Mean Accuracy,Mean Loss
Quad-Node,0.5653514148051857,1.3700000000000045,0.018343024071865607,87.34333333333332,0.41102982944083993
Quad-Layer,21.209221788856112,50.82,0.5999369431407937,46.89666666666667,1.573994720273111
Cubic-Node,0.15577761927396805,0.3399999999999892,0.007024110411376044,87.61999999999999,0.4044713412484808
Cubic-Layer,1.6027961678128453,3.4099999999999966,0.03373056254605083,75.77333333333333,0.7436988920207801
ReLU,0.04320493798938372,0.09999999999999432,0.000718588231334863,96.73,0.1062572691894834
Sigmoid,0.12283683848458697,0.29999999999999716,0.0027144810996589095,92.50333333333333,0.2842929715004124
