Activation,Test Acc Mean (%),Test Acc Std (%),Test Acc Range (%),Test Loss Mean,Test Loss Std,Stability Score
ReLU,96.73,0.04320493798938372,0.09999999999999432,0.1062572691894834,0.000718588231334863,0.04320493798938372
Sigmoid,92.50333333333333,0.12283683848458697,0.29999999999999716,0.2842929715004124,0.0027144810996589095,0.12283683848458697
Cubic-Node,87.61999999999999,0.15577761927396805,0.3399999999999892,0.4044713412484808,0.007024110411376044,0.15577761927396805
Quad-Node,87.34333333333332,0.5653514148051857,1.3700000000000045,0.41102982944083993,0.018343024071865607,0.5653514148051857
Cubic-Layer,75.77333333333333,1.6027961678128453,3.4099999999999966,0.7436988920207801,0.03373056254605083,1.6027961678128453
Quad-Layer,46.89666666666667,21.209221788856112,50.82,1.573994720273111,0.5999369431407937,21.209221788856112
